,country,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,New_deaths,population,ratio
0,Afghanistan,AFG,2021-05-11,504502.0,448878.0,55624.0,12,40146987.0,1.1180863958732445
1,Afghanistan,AFG,2021-05-20,547901.0,470341.0,77560.0,10,40146987.0,1.1715474438965991
2,Afghanistan,AFG,2021-05-24,573277.0,476367.0,96910.0,10,40146987.0,1.1865572875991914
3,Afghanistan,AFG,2021-05-26,590454.0,479372.0,111082.0,19,40146987.0,1.1940422826749115
4,Afghanistan,AFG,2021-05-27,593313.0,479574.0,113739.0,14,40146987.0,1.1945454337582044
5,Afghanistan,AFG,2021-05-30,600152.0,480226.0,119926.0,20,40146987.0,1.1961694659676454
6,Afghanistan,AFG,2021-06-02,626290.0,481690.0,144600.0,34,40146987.0,1.1998160658980461
7,Afghanistan,AFG,2021-06-03,630305.0,481800.0,148505.0,27,40146987.0,1.2000900590622154
8,Afghanistan,AFG,2021-06-08,641295.0,482952.0,158343.0,64,40146987.0,1.2029595147451537
9,Afghanistan,AFG,2021-06-14,662003.0,484737.0,177266.0,85,40146987.0,1.20740567654554
10,Afghanistan,AFG,2021-06-22,765890.0,582128.0,183762.0,78,40146987.0,1.449991751560335
11,Afghanistan,AFG,2021-06-27,835694.0,649434.0,186260.0,56,40146987.0,1.6176406961747838
12,Afghanistan,AFG,2021-06-30,886854.0,699200.0,187654.0,77,40146987.0,1.7416001853389398
13,Afghanistan,AFG,2021-07-05,915671.0,726349.0,189322.0,84,40146987.0,1.8092241891029082
14,Afghanistan,AFG,2021-07-07,934463.0,735213.0,199250.0,55,40146987.0,1.8313030564410724
15,Afghanistan,AFG,2021-07-11,962093.0,742934.0,219159.0,86,40146987.0,1.850534885718821
16,Afghanistan,AFG,2021-08-20,1201286.0,770542.0,430744.0,7,40146987.0,1.9193021882314605
17,Albania,ALB,2021-02-02,550.0,549.0,1.0,13,2871065.0,0.019121824131463412
18,Albania,ALB,2021-02-09,1127.0,689.0,438.0,12,2871065.0,0.02399806343639033
19,Albania,ALB,2021-02-17,1701.0,1090.0,611.0,15,2871065.0,0.037965006016931
20,Albania,ALB,2021-02-18,3049.0,2438.0,611.0,18,2871065.0,0.08491622446722732
21,Albania,ALB,2021-02-22,6728.0,6073.0,655.0,13,2871065.0,0.21152429499157976
22,Albania,ALB,2021-05-11,622507.0,440921.0,181586.0,4,2871065.0,15.357402218340582
23,Albania,ALB,2021-05-12,632676.0,444755.0,187921.0,4,2871065.0,15.49094151473408
24,Albania,ALB,2021-05-13,638338.0,445402.0,192936.0,3,2871065.0,15.513476706378992
25,Albania,ALB,2021-05-14,653330.0,448571.0,204759.0,3,2871065.0,15.623853866074086
26,Albania,ALB,2021-05-17,680083.0,456980.0,223103.0,3,2871065.0,15.916741696896446
27,Albania,ALB,2021-05-18,688947.0,460191.0,228756.0,3,2871065.0,16.02858172838302
28,Albania,ALB,2021-05-19,697811.0,463402.0,234409.0,1,2871065.0,16.140421759869593
